EmployeeID,LastName,FirstName,Birthday,Address,PhoneNumber,SSS,PhilHealth,TIN,Pagibig,Status,Position,ImmediateSupervisor,BasicSalary,RiceSubsidy,PhoneAllowance,ClothingAllowance,GrossSemiMonthly,HourlyRate
10012,Mata,Samuel,04/05/1992,30/4 Ph 4 Makati,918-502-4017,89-1377314-8,210168925,979-373-309,613768221545,Active,Supervisor,Christian Mata,34976,1500,800,800,17488,208.19
10013,Crisostomo,Nicolas,05/16/1990,29/8 Ph 5 Caloocan,918-809-5326,71-4198967-3,623405391,372-969-905,103233310023,Active,Supervisor,Christian Mata,37533,1500,800,800,18766,223.41
10014,Garcia,Bernardo,11/25/1983,38/3 Ph 2 Quezon City,918-364-7067,49-1951566-7,597472093,923-455-832,234044558299,Active,Supervisor,Christian Mata,33051,1500,800,800,16526,196.73
10015,Aquino,Quentin,07/11/1971,94/8 Ph 2 Cavite,918-185-3004,39-6932470-3,622728956,211-140-571,152349079549,Active,Supervisor,Christian Mata,31456,1500,800,800,15728,187.24
10016,Villanueva,Roberto,07/31/1996,65/3 Ph 1 Manila,918-668-3864,18-9379658-0,332612741,455-242-658,552395562095,Active,Supervisor,Christian Mata,38493,1500,800,800,19246,229.12
10017,Gonzales,Katrina,05/01/1987,1/8 Ph 2 Makati,918-838-8951,48-1833895-7,156382173,195-245-703,640989098905,Active,Supervisor,Christian Mata,37267,1500,800,800,18634,221.83
10018,Mata,Maria,06/23/1974,53/10 Ph 3 Cavite,918-837-9759,29-4591322-9,301289552,709-344-386,515647545622,Active,Supervisor,Christian Mata,32155,1500,800,800,16078,191.4
10019,Torres,Maria,11/10/1982,88/4 Ph 1 Manila,918-301-4470,25-5028448-4,500411883,618-912-321,833118991871,Active,Supervisor,Christian Mata,33663,1500,800,800,16832,200.38
10020,Cruz,Margarita,01/29/1994,7/1 Ph 3 Manila,918-372-5203,77-1606708-2,308253913,678-580-149,083212629683,Active,Supervisor,Christian Mata,38356,1500,800,800,19178,228.31
10021,Dizon,Clara,11/04/1997,11/6 Ph 5 Cavite,918-468-2191,18-6638018-0,160759364,524-762-282,143438450373,Active,Supervisor,Christian Mata,32467,1500,800,800,16234,193.26
10022,Hernandez,Antonio,05/02/1975,42/3 Ph 2 Manila,918-504-2079,22-6804566-3,989632836,449-370-381,674513192067,Active,Supervisor,Christian Mata,35234,1500,800,800,17617,209.73
10023,Santos,Samuel,04/06/1981,85/4 Ph 3 Caloocan,918-300-3694,40-8114663-7,222956740,518-243-706,423088939626,Active,Supervisor,Christian Mata,38466,1500,800,800,19233,228.96
10024,Hernandez,Jaime,05/27/1988,96/6 Ph 1 Cavite,918-302-3112,50-8919623-2,580665961,863-700-117,148674996963,Active,Supervisor,Christian Mata,34509,1500,800,800,17254,205.41
10025,Perez,Elena,06/25/1970,91/3 Ph 2 Caloocan,918-336-3983,18-8095627-7,440330965,306-618-971,114757257917,Active,Supervisor,Christian Mata,35649,1500,800,800,17824,212.2
10026,Ocampo,Samuel,02/25/1996,15/8 Ph 5 Quezon City,918-460-6101,48-5182991-8,642036724,310-449-743,303504106516,Active,Team Lead,Maria Garcia,28564,1500,500,500,14282,170.02
10027,Cruz,Humberto,09/06/1974,83/4 Ph 2 Caloocan,918-403-1002,12-7061756-7,243936997,113-171-881,171788647087,Active,Team Lead,Maria Garcia,26159,1500,500,500,13080,155.71
10028,Santiago,Quentin,07/28/1972,70/10 Ph 4 Makati,918-997-7108,12-9993358-1,248512143,767-172-277,358700204732,Active,Team Lead,Maria Garcia,27344,1500,500,500,13672,162.76
10029,Crisostomo,Bernardo,11/04/1997,55/8 Ph 1 Manila,918-206-8971,38-2066895-7,222049870,300-474-135,166398039235,Active,Team Lead,Maria Garcia,25433,1500,500,500,12716,151.39
10030,Aquino,Carmen,06/13/1987,14/2 Ph 4 Manila,918-129-2325,48-2895101-4,533036814,561-344-129,203417757388,Active,Team Lead,Maria Garcia,25916,1500,500,500,12958,154.26
10031,Bautista,Maria,03/05/1993,48/5 Ph 5 Caloocan,918-936-2180,24-1845681-4,992176431,698-356-820,387342084565,Active,Team Lead,Maria Garcia,25431,1500,500,500,12716,151.38
10032,Garcia,Samuel,06/07/1986,52/3 Ph 2 Makati,918-706-7247,43-8515089-8,908298751,465-422-920,443422238466,Active,Team Lead,Maria Garcia,28965,1500,500,500,14482,172.41
10033,Dizon,Eva,04/23/1984,33/3 Ph 1 Caloocan,918-199-7330,81-2296068-3,138670678,610-829-373,040081397858,Active,Team Lead,Maria Garcia,27453,1500,500,500,13726,163.41
10034,Garcia,Fernando,11/03/1971,32/8 Ph 1 Manila,918-353-8378,56-4293933-2,538260196,167-272-132,154790095819,Active,Team Lead,Maria Garcia,28574,1500,500,500,14287,170.08
10035,Perez,Antonio,05/13/1987,100/10 Ph 3 Manila,918-140-5290,12-7096681-7,101569689,451-933-514,242589574483,Active,Team Lead,Maria Garcia,25433,1500,500,500,12716,151.39
10036,Dizon,Carmen,06/16/1994,27/7 Ph 5 Quezon City,918-297-7177,15-8164057-0,753644031,665-274-129,552319409395,Active,Team Lead,Maria Garcia,27894,1500,500,500,13947,166.04
10037,Lim,Daniel,05/16/1970,55/10 Ph 5 Cavite,918-636-6467,40-8025265-1,563456343,154-825-455,595350172535,Active,Team Lead,Maria Garcia,28374,1500,500,500,14187,168.89
10038,Lopez,Samuel,04/24/1989,48/6 Ph 2 Quezon City,918-508-3011,10-1845347-4,438622728,154-434-754,557555193490,Active,Team Lead,Maria Garcia,27453,1500,500,500,13726,163.41
10039,Mata,Maria,11/24/1997,84/5 Ph 5 Caloocan,918-154-5264,12-8245389-4,834604561,165-728-662,883582455502,Active,Team Lead,Maria Garcia,25345,1500,500,500,12672,150.86
10040,Garcia,Fernando,05/26/1982,59/9 Ph 4 Makati,918-918-7186,81-2244198-3,982436815,677-450-488,413812239695,Active,Team Lead,Maria Garcia,28645,1500,500,500,14322,170.51
10041,Crisostomo,Quentin,03/30/1988,67/4 Ph 2 Quezon City,918-688-6638,60-1558963-4,677943485,417-106-118,229440615967,Active,Senior Associate,Juan Reyes,23455,1500,500,500,11728,139.61
10042,Reyes,Eva,04/13/1971,10/10 Ph 2 Quezon City,918-204-5853,28-8636734-7,150915351,200-117-649,856109968846,Active,Senior Associate,Juan Reyes,20145,1500,500,500,10072,119.91
10043,Mata,Samuel,11/04/1989,28/2 Ph 3 Quezon City,918-109-2423,10-1376822-2,634123565,116-435-866,851147513079,Active,Senior Associate,Juan Reyes,21453,1500,500,500,10726,127.7
10044,Dizon,Rosa,08/11/1976,57/2 Ph 2 Cavite,918-189-2169,45-1211023-7,440312015,108-725-343,006190777598,Active,Senior Associate,Juan Reyes,22543,1500,500,500,11272,134.18
10045,Villanueva,Humberto,10/18/1979,59/3 Ph 2 Quezon City,918-361-1250,56-9182315-1,563456822,126-243-703,137785223396,Active,Senior Associate,Juan Reyes,20145,1500,500,500,10072,119.91
10046,Hernandez,Elena,06/30/1974,27/5 Ph 5 Makati,918-804-9445,47-9262534-1,803264415,670-435-144,484224755109,Active,Senior Associate,Juan Reyes,23545,1500,500,500,11772,140.15
10047,Castillo,Katrina,06/13/1990,32/10 Ph 5 Makati,918-502-3932,18-9118536-1,222045958,118-228-444,534575196964,Active,Senior Associate,Juan Reyes,22543,1500,500,500,11272,134.18
10048,Lim,Fernando,01/29/1991,52/5 Ph 2 Quezon City,918-261-1646,13-1811568-7,566774641,200-244-129,561331210986,Active,Senior Associate,Juan Reyes,23456,1500,500,500,11728,139.62
10049,Santos,Bernardo,11/10/1974,10/10 Ph 4 Manila,918-809-5140,43-3066343-7,222043135,167-106-118,485145710023,Active,Senior Associate,Juan Reyes,22543,1500,500,500,11272,134.18
10050,Perez,Eva,04/23/1987,14/2 Ph 4 Manila,918-129-2325,48-2895101-4,533036814,561-344-129,203417757388,Active,Senior Associate,Juan Reyes,21453,1500,500,500,10726,127.7
10051,Ocampo,Bernardo,05/16/1970,55/10 Ph 5 Cavite,918-636-6467,40-8025265-1,563456343,154-825-455,595350172535,Active,Senior Associate,Juan Reyes,20145,1500,500,500,10072,119.91
10052,Hernandez,Quentin,07/28/1972,70/10 Ph 4 Makati,918-997-7108,12-9993358-1,248512143,767-172-277,358700204732,Active,Senior Associate,Juan Reyes,21453,1500,500,500,10726,127.7
10053,Perez,Antonio,05/13/1987,100/10 Ph 3 Manila,918-140-5290,12-7096681-7,101569689,451-933-514,242589574483,Active,Senior Associate,Juan Reyes,23456,1500,500,500,11728,139.62
10054,Garcia,Fernando,11/03/1971,32/8 Ph 1 Manila,918-353-8378,56-4293933-2,538260196,167-272-132,154790095819,Active,Senior Associate,Juan Reyes,22543,1500,500,500,11272,134.18
10055,Lim,Daniel,05/16/1970,55/10 Ph 5 Cavite,918-636-6467,40-8025265-1,563456343,154-825-455,595350172535,Active,Senior Associate,Juan Reyes,20145,1500,500,500,10072,119.91
10056,Dizon,Eva,04/23/1984,33/3 Ph 1 Caloocan,918-199-7330,81-2296068-3,138670678,610-829-373,040081397858,Active,Senior Associate,Juan Reyes,21453,1500,500,500,10726,127.7
10057,Garcia,Samuel,06/07/1986,52/3 Ph 2 Makati,918-706-7247,43-8515089-8,908298751,465-422-920,443422238466,Active,Senior Associate,Juan Reyes,23456,1500,500,500,11728,139.62
10058,Santiago,Quentin,07/28/1972,70/10 Ph 4 Makati,918-997-7108,12-9993358-1,248512143,767-172-277,358700204732,Active,Senior Associate,Juan Reyes,22543,1500,500,500,11272,134.18
10059,Lim,Daniel,05/16/1970,55/10 Ph 5 Cavite,918-636-6467,40-8025265-1,563456343,154-825-455,595350172535,Active,Senior Associate,Juan Reyes,20145,1500,500,500,10072,119.91
10060,Dizon,Eva,04/23/1984,33/3 Ph 1 Caloocan,918-199-7330,81-2296068-3,138670678,610-829-373,040081397858,Active,Senior Associate,Juan Reyes,21453,1500,500,500,10726,127.7
10061,Castillo,Rosa,02/10/1988,32/1 Ph 3 Cavite,918-364-5211,48-1851253-1,986386343,118-474-135,166398039235,Active,Junior Associate,Elena Cruz,17453,1500,500,500,8726,103.89
10062,Garcia,Bernardo,11/25/1983,38/3 Ph 2 Quezon City,918-364-7067,49-1951566-7,597472093,923-455-832,234044558299,Active,Junior Associate,Elena Cruz,16453,1500,500,500,8226,97.93
10063,Santos,Samuel,04/06/1981,85/4 Ph 3 Caloocan,918-300-3694,40-8114663-7,222956740,518-243-706,423088939626,Active,Junior Associate,Elena Cruz,18453,1500,500,500,9226,109.84
10064,Hernandez,Jaime,05/27/1988,96/6 Ph 1 Cavite,918-302-3112,50-8919623-2,580665961,863-700-117,148674996963,Active,Junior Associate,Elena Cruz,15453,1500,500,500,7726,91.98
10065,Perez,Elena,06/25/1970,91/3 Ph 2 Caloocan,918-336-3983,18-8095627-7,440330965,306-618-971,114757257917,Active,Junior Associate,Elena Cruz,17453,1500,500,500,8726,103.89
10066,Ocampo,Samuel,02/25/1996,15/8 Ph 5 Quezon City,918-460-6101,48-5182991-8,642036724,310-449-743,303504106516,Active,Junior Associate,Elena Cruz,18453,1500,500,500,9226,109.84
10067,Cruz,Humberto,09/06/1974,83/4 Ph 2 Caloocan,918-403-1002,12-7061756-7,243936997,113-171-881,171788647087,Active,Junior Associate,Elena Cruz,16453,1500,500,500,8226,97.93
10068,Santiago,Quentin,07/28/1972,70/10 Ph 4 Makati,918-997-7108,12-9993358-1,248512143,767-172-277,358700204732,Active,Junior Associate,Elena Cruz,15453,1500,500,500,7726,91.98
10069,Crisostomo,Bernardo,11/04/1997,55/8 Ph 1 Manila,918-206-8971,38-2066895-7,222049870,300-474-135,166398039235,Active,Junior Associate,Elena Cruz,17453,1500,500,500,8726,103.89
10070,Aquino,Carmen,06/13/1987,14/2 Ph 4 Manila,918-129-2325,48-2895101-4,533036814,561-344-129,203417757388,Active,Junior Associate,Elena Cruz,18453,1500,500,500,9226,109.84
10071,Bautista,Maria,03/05/1993,48/5 Ph 5 Caloocan,918-936-2180,24-1845681-4,992176431,698-356-820,387342084565,Active,Junior Associate,Elena Cruz,16453,1500,500,500,8226,97.93
10072,Garcia,Samuel,06/07/1986,52/3 Ph 2 Makati,918-706-7247,43-8515089-8,908298751,465-422-920,443422238466,Active,Junior Associate,Elena Cruz,15453,1500,500,500,7726,91.98
10073,Dizon,Eva,04/23/1984,33/3 Ph 1 Caloocan,918-199-7330,81-2296068-3,138670678,610-829-373,040081397858,Active,Junior Associate,Elena Cruz,17453,1500,500,500,8726,103.89
10074,Garcia,Fernando,11/03/1971,32/8 Ph 1 Manila,918-353-8378,56-4293933-2,538260196,167-272-132,154790095819,Active,Junior Associate,Elena Cruz,18453,1500,500,500,9226,109.84
10075,Perez,Antonio,05/13/1987,100/10 Ph 3 Manila,918-140-5290,12-7096681-7,101569689,451-933-514,242589574483,Active,Junior Associate,Elena Cruz,16453,1500,500,500,8226,97.93
10076,Dizon,Carmen,06/16/1994,27/7 Ph 5 Quezon City,918-297-7177,15-8164057-0,753644031,665-274-129,552319409395,Active,Junior Associate,Elena Cruz,15453,1500,500,500,7726,91.98
10077,Lim,Daniel,05/16/1970,55/10 Ph 5 Cavite,918-636-6467,40-8025265-1,563456343,154-825-455,595350172535,Active,Junior Associate,Elena Cruz,17453,1500,500,500,8726,103.89
10078,Lopez,Samuel,04/24/1989,48/6 Ph 2 Quezon City,918-508-3011,10-1845347-4,438622728,154-434-754,557555193490,Active,Junior Associate,Elena Cruz,18453,1500,500,500,9226,109.84
10079,Mata,Maria,11/24/1997,84/5 Ph 5 Caloocan,918-154-5264,12-8245389-4,834604561,165-728-662,883582455502,Active,Junior Associate,Elena Cruz,16453,1500,500,500,8226,97.93
10080,Garcia,Fernando,05/26/1982,59/9 Ph 4 Makati,918-918-7186,81-2244198-3,982436815,677-450-488,413812239695,Active,Junior Associate,Elena Cruz,15453,1500,500,500,7726,91.98
10081,Crisostomo,Quentin,03/30/1988,67/4 Ph 2 Quezon City,918-688-6638,60-1558963-4,677943485,417-106-118,229440615967,Active,Junior Associate,Elena Cruz,17453,1500,500,500,8726,103.89
10082,Reyes,Eva,04/13/1971,10/10 Ph 2 Quezon City,918-204-5853,28-8636734-7,150915351,200-117-649,856109968846,Active,Junior Associate,Elena Cruz,18453,1500,500,500,9226,109.84
10083,Mata,Samuel,11/04/1989,28/2 Ph 3 Quezon City,918-109-2423,10-1376822-2,634123565,116-435-866,851147513079,Active,Junior Associate,Elena Cruz,16453,1500,500,500,8226,97.93
10084,Dizon,Rosa,08/11/1976,57/2 Ph 2 Cavite,918-189-2169,45-1211023-7,440312015,108-725-343,006190777598,Active,Junior Associate,Elena Cruz,15453,1500,500,500,7726,91.98
10085,Villanueva,Humberto,10/18/1979,59/3 Ph 2 Quezon City,918-361-1250,56-9182315-1,563456822,126-243-703,137785223396,Active,Junior Associate,Elena Cruz,17453,1500,500,500,8726,103.89
10086,Castillo,Antonio,05/16/1978,85/2 Ph 5 Manila,918-403-5182,57-5541818-4,534568822,166-243-703,423088939626,Active,Staff,Ricardo Bautista,13453,1500,500,500,6726,80.08
10087,Hernandez,Rosa,12/17/1984,33/3 Ph 4 Quezon City,918-189-2169,45-1211023-7,440312015,108-725-343,006190777598,Active,Staff,Ricardo Bautista,12453,1500,500,500,6226,74.12
10088,Santiago,Samuel,04/06/1981,85/4 Ph 3 Caloocan,918-300-3694,40-8114663-7,222956740,518-243-706,423088939626,Active,Staff,Ricardo Bautista,13453,1500,500,500,6726,80.08
10089,Hernandez,Jaime,05/27/1988,96/6 Ph 1 Cavite,918-302-3112,50-8919623-2,580665961,863-700-117,148674996963,Active,Staff,Ricardo Bautista,12453,1500,500,500,6226,74.12
10090,Perez,Elena,06/25/1970,91/3 Ph 2 Caloocan,918-336-3983,18-8095627-7,440330965,306-618-971,114757257917,Active,Staff,Ricardo Bautista,13453,1500,500,500,6726,80.08
10091,Ocampo,Samuel,02/25/1996,15/8 Ph 5 Quezon City,918-460-6101,48-5182991-8,642036724,310-449-743,303504106516,Active,Staff,Ricardo Bautista,12453,1500,500,500,6226,74.12
10092,Cruz,Humberto,09/06/1974,83/4 Ph 2 Caloocan,918-403-1002,12-7061756-7,243936997,113-171-881,171788647087,Active,Staff,Ricardo Bautista,13453,1500,500,500,6726,80.08
10093,Santiago,Quentin,07/28/1972,70/10 Ph 4 Makati,918-997-7108,12-9993358-1,248512143,767-172-277,358700204732,Active,Staff,Ricardo Bautista,12453,1500,500,500,6226,74.12
10094,Crisostomo,Bernardo,11/04/1997,55/8 Ph 1 Manila,918-206-8971,38-2066895-7,222049870,300-474-135,166398039235,Active,Staff,Ricardo Bautista,13453,1500,500,500,6726,80.08
10095,Aquino,Carmen,06/13/1987,14/2 Ph 4 Manila,918-129-2325,48-2895101-4,533036814,561-344-129,203417757388,Active,Staff,Ricardo Bautista,12453,1500,500,500,6226,74.12
10096,Bautista,Maria,03/05/1993,48/5 Ph 5 Caloocan,918-936-2180,24-1845681-4,992176431,698-356-820,387342084565,Active,Staff,Ricardo Bautista,13453,1500,500,500,6726,80.08
10097,Garcia,Samuel,06/07/1986,52/3 Ph 2 Makati,918-706-7247,43-8515089-8,908298751,465-422-920,443422238466,Active,Staff,Ricardo Bautista,12453,1500,500,500,6226,74.12
10098,Dizon,Eva,04/23/1984,33/3 Ph 1 Caloocan,918-199-7330,81-2296068-3,138670678,610-829-373,040081397858,Active,Staff,Ricardo Bautista,13453,1500,500,500,6726,80.08
10099,Garcia,Fernando,11/03/1971,32/8 Ph 1 Manila,918-353-8378,56-4293933-2,538260196,167-272-132,154790095819,Active,Staff,Ricardo Bautista,12453,1500,500,500,6226,74.12
10100,Perez,Antonio,05/13/1987,100/10 Ph 3 Manila,918-140-5290,12-7096681-7,101569689,451-933-514,242589574483,Active,Staff,Ricardo Bautista,13453,1500,500,500,6726,80.08
